productId,productName,productPrice,productSite,productUrl
302448-10P,LYFT Midsummer Night Limited Edition Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-midsummer-night-limited-edition-strong-all-white-portion,,
302605-10P,Nordic Spirit Melon Square All White Portion,329.9,snusbolaget.se,https://www.snusbolaget.se/snus/nordic-spirit-melon-square-slim-all-white-portion,,
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,
302218-15P,Loop Jalapeno Lime Strong All White,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-strong-all-white,,
302555-11P,ZYN Dry Bellini Mini Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-strong-all-white-portion,,
201321,Lundgrens Skåne Vit Portionssnus,292.9,snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,,
302484-5P,Klint Liquorice Slim Strong All White Portion,99.0,snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,
302229-11P,ONE Blå White Portion,289.9,snusbolaget.se,https://www.snusbolaget.se/snus/one-bla-white-portion,,
JTI-LD-whsalmiak-30,LD Salmiak Vit Portionssnus,599.0,snusbolaget.se,https://www.snusbolaget.se/snus/ld-salmiak-vit-portionssnus,,
302554-11P,ZYN Dry Bellini Mini All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-all-white-portion,,
302578-15P,Loop Jalapeno Lime Slim Extra Strong All White Portion,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-slim-extra-strong-all-white-portion,,
301307-11P,LYFT Ice Cool Strong Mint Slim All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-ice-cool-strong-mint-slim-all-white-portion,,
302547-10P,Göteborgs Rapé West Coast IPA White Portion,439.9,snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-west-coast-ipa-white-portion,,
302007-11P,ZYN Spearmint Mini Dry,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-spearmint-mini-dry-30-pack,,
302556-5P,VOLT Java Shake Slim Extra Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-java-shake-slim-extra-strong-all-white-portion,,
302544-15P,Loop Mango Tango Slim Strong All White Portion,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-mango-tango-slim-strong-all-white-portion,,
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,5
301158-30P,LD Original Stark Portionssnus,599.0,snusbolaget.se,https://www.snusbolaget.se/snus/ld-original-stark-portionssnus,,30
302484-5P,Klint Liquorice Slim Strong All White Portion,99.0,snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,5
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,,5
301158-30P,LD Original Stark Portionssnus,599.0,snusbolaget.se,https://www.snusbolaget.se/snus/ld-original-stark-portionssnus,,30
302555-11P,ZYN Dry Bellini Mini Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-strong-all-white-portion,,11
201321,Lundgrens Skåne Vit Portionssnus,292.9,snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skane-vit-portionssnus,,10
302484-5P,Klint Liquorice Slim Strong All White Portion,99.0,snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,,5
302554-11P,ZYN Dry Bellini Mini All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-all-white-portion,,11
302544-15P,Loop Mango Tango Slim Strong All White Portion,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-mango-tango-slim-strong-all-white-portion,,15
302446-11P,LYFT Tokyo Zing Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-tokyo-zing-strong-all-white-portion,,11
302547-10P,Göteborgs Rapé West Coast IPA White Portion,439.9,snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-west-coast-ipa-white-portion,,10
productId,productName,productPrice,productSite,productUrl,unitPrice,units
302551-5P,VOLT Frosted Apple Slim Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-frosted-apple-slim-strong-all-white-portion,29.98,5
301158-30P,LD Original Stark Portionssnus,599.0,snusbolaget.se,https://www.snusbolaget.se/snus/ld-original-stark-portionssnus,19.966666666666665,30
302218-15P,Loop Jalapeno Lime Strong All White,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-strong-all-white,33.32666666666667,15
201278-10,XR Göteborgs Rapé slim white Portionssnus,289.9,snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-xrange-white-portionssnus,289.9,1
